Error(MUE),FPTrainCoverage,FPTestCoverage,FPDistance,TrainSE,TestSE,DiffSE
0.40680320604368775,0.7607421875,0.2978515625,1.5109008143042113,283.1573897408194,241.39667368823746,-41.76071605258193
0.6253484930630083,0.75146484375,0.30419921875,1.500614701677681,284.2663820330014,230.73339639111936,-53.53298564188202
0.48496172647197894,0.75732421875,0.3076171875,1.4684754430613673,283.2404599647278,237.6606962660056,-45.57976369872219
0.42648654498398936,0.7353515625,0.408203125,1.5214479106053054,279.1956608874136,264.9220639776842,-14.273596909729406
0.5031969728249245,0.7470703125,0.3583984375,1.5595922971518033,281.9797972677996,251.99013682440815,-29.989660443391443
0.48722154874267987,0.75390625,0.34716796875,1.5236217032842343,280.4793548150241,259.13007571743475,-21.349279097589374
0.4569021868113163,0.75,0.3115234375,1.521621279469102,281.09448240758667,252.80930774733824,-28.28517466024843
0.3896515675246159,0.74853515625,0.3212890625,1.35652142365003,282.158609097749,248.38875313444342,-33.76985596330556
0.48975091784362706,0.75390625,0.34375,1.5821975645538777,282.26226512884864,247.46247746840513,-34.79978766044351
0.37157304112629136,0.75244140625,0.318359375,1.268167368427092,283.3929510047097,243.6929550004436,-39.6999960042661
